#SPATIAL.ascii 1
SimpleDB {
  num-values =      1
  value-names =  initial_amplitude
  value-units =  Pa
  num-locs =   3000
  data-dim =    1
  space-dim =    2
  cs-data = cartesian {
  to-meters = 1
  space-dim = 2
}
}
  2.000000e+04 -2.671891e+04 -2.594677e+09
  2.000000e+04 -2.670890e+04 -2.592462e+09
  2.000000e+04 -2.669890e+04 -2.590247e+09
  2.000000e+04 -2.668890e+04 -2.588032e+09
  2.000000e+04 -2.667889e+04 -2.585817e+09
  2.000000e+04 -2.666889e+04 -2.583603e+09
  2.000000e+04 -2.665889e+04 -2.581388e+09
  2.000000e+04 -2.664888e+04 -2.579173e+09
  2.000000e+04 -2.663888e+04 -2.576958e+09
  2.000000e+04 -2.662888e+04 -2.574743e+09
  2.000000e+04 -2.661887e+04 -2.572528e+09
  2.000000e+04 -2.660887e+04 -2.570314e+09
  2.000000e+04 -2.659887e+04 -2.568099e+09
  2.000000e+04 -2.658886e+04 -2.565884e+09
  2.000000e+04 -2.657886e+04 -2.563669e+09
  2.000000e+04 -2.656886e+04 -2.561454e+09
  2.000000e+04 -2.655885e+04 -2.559239e+09
  2.000000e+04 -2.654885e+04 -2.557025e+09
  2.000000e+04 -2.653885e+04 -2.554810e+09
  2.000000e+04 -2.652884e+04 -2.552595e+09
  2.000000e+04 -2.651884e+04 -2.550380e+09
  2.000000e+04 -2.650884e+04 -2.548165e+09
  2.000000e+04 -2.649883e+04 -2.545950e+09
  2.000000e+04 -2.648883e+04 -2.543736e+09
  2.000000e+04 -2.647883e+04 -2.541521e+09
  2.000000e+04 -2.646882e+04 -2.539306e+09
  2.000000e+04 -2.645882e+04 -2.537091e+09
  2.000000e+04 -2.644882e+04 -2.534876e+09
  2.000000e+04 -2.643881e+04 -2.532661e+09
  2.000000e+04 -2.642881e+04 -2.530447e+09
  2.000000e+04 -2.641881e+04 -2.528232e+09
  2.000000e+04 -2.640880e+04 -2.526017e+09
  2.000000e+04 -2.639880e+04 -2.523802e+09
  2.000000e+04 -2.638880e+04 -2.521587e+09
  2.000000e+04 -2.637879e+04 -2.519372e+09
  2.000000e+04 -2.636879e+04 -2.517158e+09
  2.000000e+04 -2.635879e+04 -2.514943e+09
  2.000000e+04 -2.634878e+04 -2.512728e+09
  2.000000e+04 -2.633878e+04 -2.510513e+09
  2.000000e+04 -2.632878e+04 -2.508298e+09
  2.000000e+04 -2.631877e+04 -2.506083e+09
  2.000000e+04 -2.630877e+04 -2.503869e+09
  2.000000e+04 -2.629877e+04 -2.501654e+09
  2.000000e+04 -2.628876e+04 -2.499439e+09
  2.000000e+04 -2.627876e+04 -2.497224e+09
  2.000000e+04 -2.626876e+04 -2.495009e+09
  2.000000e+04 -2.625875e+04 -2.492794e+09
  2.000000e+04 -2.624875e+04 -2.490580e+09
  2.000000e+04 -2.623875e+04 -2.488365e+09
  2.000000e+04 -2.622874e+04 -2.486150e+09
  2.000000e+04 -2.621874e+04 -2.483935e+09
  2.000000e+04 -2.620874e+04 -2.481720e+09
  2.000000e+04 -2.619873e+04 -2.479505e+09
  2.000000e+04 -2.618873e+04 -2.477291e+09
  2.000000e+04 -2.617873e+04 -2.475076e+09
  2.000000e+04 -2.616872e+04 -2.472861e+09
  2.000000e+04 -2.615872e+04 -2.470646e+09
  2.000000e+04 -2.614872e+04 -2.468431e+09
  2.000000e+04 -2.613871e+04 -2.466216e+09
  2.000000e+04 -2.612871e+04 -2.464002e+09
  2.000000e+04 -2.611871e+04 -2.461787e+09
  2.000000e+04 -2.610870e+04 -2.459572e+09
  2.000000e+04 -2.609870e+04 -2.457357e+09
  2.000000e+04 -2.608870e+04 -2.455142e+09
  2.000000e+04 -2.607869e+04 -2.452927e+09
  2.000000e+04 -2.606869e+04 -2.450713e+09
  2.000000e+04 -2.605869e+04 -2.448498e+09
  2.000000e+04 -2.604868e+04 -2.446283e+09
  2.000000e+04 -2.603868e+04 -2.444068e+09
  2.000000e+04 -2.602868e+04 -2.441853e+09
  2.000000e+04 -2.601867e+04 -2.439638e+09
  2.000000e+04 -2.600867e+04 -2.437424e+09
  2.000000e+04 -2.599867e+04 -2.435209e+09
  2.000000e+04 -2.598866e+04 -2.432994e+09
  2.000000e+04 -2.597866e+04 -2.430779e+09
  2.000000e+04 -2.596866e+04 -2.428564e+09
  2.000000e+04 -2.595865e+04 -2.426349e+09
  2.000000e+04 -2.594865e+04 -2.424135e+09
  2.000000e+04 -2.593865e+04 -2.421920e+09
  2.000000e+04 -2.592864e+04 -2.419705e+09
  2.000000e+04 -2.591864e+04 -2.417490e+09
  2.000000e+04 -2.590864e+04 -2.415275e+09
  2.000000e+04 -2.589863e+04 -2.413060e+09
  2.000000e+04 -2.588863e+04 -2.410846e+09
  2.000000e+04 -2.587863e+04 -2.408631e+09
  2.000000e+04 -2.586862e+04 -2.406416e+09
  2.000000e+04 -2.585862e+04 -2.404201e+09
  2.000000e+04 -2.584862e+04 -2.401986e+09
  2.000000e+04 -2.583861e+04 -2.399771e+09
  2.000000e+04 -2.582861e+04 -2.397557e+09
  2.000000e+04 -2.581861e+04 -2.395342e+09
  2.000000e+04 -2.580860e+04 -2.393127e+09
  2.000000e+04 -2.579860e+04 -2.390912e+09
  2.000000e+04 -2.578860e+04 -2.388697e+09
  2.000000e+04 -2.577859e+04 -2.386482e+09
  2.000000e+04 -2.576859e+04 -2.384268e+09
  2.000000e+04 -2.575859e+04 -2.382053e+09
  2.000000e+04 -2.574858e+04 -2.379838e+09
  2.000000e+04 -2.573858e+04 -2.377623e+09
  2.000000e+04 -2.572858e+04 -2.375408e+09
  2.000000e+04 -2.571857e+04 -2.373193e+09
  2.000000e+04 -2.570857e+04 -2.370979e+09
  2.000000e+04 -2.569857e+04 -2.368764e+09
  2.000000e+04 -2.568856e+04 -2.366549e+09
  2.000000e+04 -2.567856e+04 -2.364334e+09
  2.000000e+04 -2.566856e+04 -2.362119e+09
  2.000000e+04 -2.565855e+04 -2.359904e+09
  2.000000e+04 -2.564855e+04 -2.357690e+09
  2.000000e+04 -2.563855e+04 -2.355475e+09
  2.000000e+04 -2.562854e+04 -2.353260e+09
  2.000000e+04 -2.561854e+04 -2.351045e+09
  2.000000e+04 -2.560854e+04 -2.348830e+09
  2.000000e+04 -2.559853e+04 -2.346615e+09
  2.000000e+04 -2.558853e+04 -2.344401e+09
  2.000000e+04 -2.557853e+04 -2.342186e+09
  2.000000e+04 -2.556852e+04 -2.339971e+09
  2.000000e+04 -2.555852e+04 -2.337756e+09
  2.000000e+04 -2.554852e+04 -2.335541e+09
  2.000000e+04 -2.553851e+04 -2.333326e+09
  2.000000e+04 -2.552851e+04 -2.331112e+09
  2.000000e+04 -2.551851e+04 -2.328897e+09
  2.000000e+04 -2.550850e+04 -2.326682e+09
  2.000000e+04 -2.549850e+04 -2.324467e+09
  2.000000e+04 -2.548850e+04 -2.322252e+09
  2.000000e+04 -2.547849e+04 -2.320037e+09
  2.000000e+04 -2.546849e+04 -2.317823e+09
  2.000000e+04 -2.545849e+04 -2.315608e+09
  2.000000e+04 -2.544848e+04 -2.313393e+09
  2.000000e+04 -2.543848e+04 -2.311178e+09
  2.000000e+04 -2.542848e+04 -2.308963e+09
  2.000000e+04 -2.541847e+04 -2.306748e+09
  2.000000e+04 -2.540847e+04 -2.304534e+09
  2.000000e+04 -2.539847e+04 -2.302319e+09
  2.000000e+04 -2.538846e+04 -2.300104e+09
  2.000000e+04 -2.537846e+04 -2.297889e+09
  2.000000e+04 -2.536846e+04 -2.295674e+09
  2.000000e+04 -2.535845e+04 -2.293459e+09
  2.000000e+04 -2.534845e+04 -2.291245e+09
  2.000000e+04 -2.533845e+04 -2.289030e+09
  2.000000e+04 -2.532844e+04 -2.286815e+09
  2.000000e+04 -2.531844e+04 -2.284600e+09
  2.000000e+04 -2.530844e+04 -2.282385e+09
  2.000000e+04 -2.529843e+04 -2.280170e+09
  2.000000e+04 -2.528843e+04 -2.277956e+09
  2.000000e+04 -2.527843e+04 -2.275741e+09
  2.000000e+04 -2.526842e+04 -2.273526e+09
  2.000000e+04 -2.525842e+04 -2.271311e+09
  2.000000e+04 -2.524842e+04 -2.269096e+09
  2.000000e+04 -2.523841e+04 -2.266881e+09
  2.000000e+04 -2.522841e+04 -2.264667e+09
  2.000000e+04 -2.521841e+04 -2.262452e+09
  2.000000e+04 -2.520840e+04 -2.260237e+09
  2.000000e+04 -2.519840e+04 -2.258022e+09
  2.000000e+04 -2.518840e+04 -2.255807e+09
  2.000000e+04 -2.517839e+04 -2.253593e+09
  2.000000e+04 -2.516839e+04 -2.251378e+09
  2.000000e+04 -2.515839e+04 -2.249163e+09
  2.000000e+04 -2.514838e+04 -2.246948e+09
  2.000000e+04 -2.513838e+04 -2.244733e+09
  2.000000e+04 -2.512838e+04 -2.242518e+09
  2.000000e+04 -2.511837e+04 -2.240304e+09
  2.000000e+04 -2.510837e+04 -2.238089e+09
  2.000000e+04 -2.509837e+04 -2.235874e+09
  2.000000e+04 -2.508836e+04 -2.233659e+09
  2.000000e+04 -2.507836e+04 -2.231444e+09
  2.000000e+04 -2.506836e+04 -2.229229e+09
  2.000000e+04 -2.505835e+04 -2.227015e+09
  2.000000e+04 -2.504835e+04 -2.224800e+09
  2.000000e+04 -2.503835e+04 -2.222585e+09
