#SPATIAL.ascii 1
SimpleDB {
  num-values =      1
  value-names =  initial_amplitude
  value-units =  Pa
  num-locs =   1836
  data-dim =    1
  space-dim =    2
  cs-data = cartesian {
  to-meters = 1
  space-dim = 2
}
}
 -8.825578e+04  0.000000e+00  3.225476e+07
 -8.815578e+04  0.000000e+00  3.224698e+07
 -8.805578e+04  0.000000e+00  3.223919e+07
 -8.795578e+04  0.000000e+00  3.223139e+07
 -8.785578e+04  0.000000e+00  3.222356e+07
 -8.775578e+04  0.000000e+00  3.221572e+07
 -8.765578e+04  0.000000e+00  3.220787e+07
 -8.755578e+04  0.000000e+00  3.220000e+07
 -8.745578e+04  0.000000e+00  3.219212e+07
 -8.735578e+04  0.000000e+00  3.218422e+07
 -8.725578e+04  0.000000e+00  3.217630e+07
 -8.715578e+04  0.000000e+00  3.216838e+07
 -8.705578e+04  0.000000e+00  3.216044e+07
 -8.695578e+04  0.000000e+00  3.215249e+07
 -8.685578e+04  0.000000e+00  3.214452e+07
 -8.675578e+04  0.000000e+00  3.213655e+07
 -8.665578e+04  0.000000e+00  3.212856e+07
 -8.655578e+04  0.000000e+00  3.212056e+07
 -8.645578e+04  0.000000e+00  3.211255e+07
 -8.635578e+04  0.000000e+00  3.210453e+07
 -8.625578e+04  0.000000e+00  3.209650e+07
 -8.615578e+04  0.000000e+00  3.208847e+07
 -8.605578e+04  0.000000e+00  3.208042e+07
 -8.595578e+04  0.000000e+00  3.207236e+07
 -8.585578e+04  0.000000e+00  3.206430e+07
 -8.575578e+04  0.000000e+00  3.205623e+07
 -8.565578e+04  0.000000e+00  3.204815e+07
 -8.555578e+04  0.000000e+00  3.204007e+07
 -8.545578e+04  0.000000e+00  3.203198e+07
 -8.535578e+04  0.000000e+00  3.202388e+07
 -8.525578e+04  0.000000e+00  3.201578e+07
 -8.515578e+04  0.000000e+00  3.200767e+07
 -8.505578e+04  0.000000e+00  3.199955e+07
 -8.495578e+04  0.000000e+00  3.199144e+07
 -8.485578e+04  0.000000e+00  3.198331e+07
 -8.475578e+04  0.000000e+00  3.197519e+07
 -8.465578e+04  0.000000e+00  3.196706e+07
 -8.455578e+04  0.000000e+00  3.195893e+07
 -8.445578e+04  0.000000e+00  3.195079e+07
 -8.435578e+04  0.000000e+00  3.194266e+07
 -8.425578e+04  0.000000e+00  3.193452e+07
 -8.415578e+04  0.000000e+00  3.192638e+07
 -8.405578e+04  0.000000e+00  3.191824e+07
 -8.395578e+04  0.000000e+00  3.191010e+07
 -8.385578e+04  0.000000e+00  3.190196e+07
 -8.375578e+04  0.000000e+00  3.189382e+07
 -8.365578e+04  0.000000e+00  3.188568e+07
 -8.355578e+04  0.000000e+00  3.187754e+07
 -8.345578e+04  0.000000e+00  3.186940e+07
 -8.335578e+04  0.000000e+00  3.186126e+07
 -8.325578e+04  0.000000e+00  3.185313e+07
 -8.315578e+04  0.000000e+00  3.184500e+07
 -8.305578e+04  0.000000e+00  3.183687e+07
 -8.295578e+04  0.000000e+00  3.182874e+07
 -8.285578e+04  0.000000e+00  3.182062e+07
 -8.275578e+04  0.000000e+00  3.181250e+07
 -8.265578e+04  0.000000e+00  3.180439e+07
 -8.255578e+04  0.000000e+00  3.179628e+07
 -8.245578e+04  0.000000e+00  3.178817e+07
 -8.235578e+04  0.000000e+00  3.178008e+07
 -8.225578e+04  0.000000e+00  3.177198e+07
 -8.215578e+04  0.000000e+00  3.176390e+07
 -8.205578e+04  0.000000e+00  3.175581e+07
 -8.195578e+04  0.000000e+00  3.174774e+07
 -8.185578e+04  0.000000e+00  3.173967e+07
 -8.175578e+04  0.000000e+00  3.173162e+07
 -8.165578e+04  0.000000e+00  3.172357e+07
 -8.155578e+04  0.000000e+00  3.171552e+07
 -8.145578e+04  0.000000e+00  3.170749e+07
 -8.135578e+04  0.000000e+00  3.169946e+07
 -8.125578e+04  0.000000e+00  3.169145e+07
 -8.115578e+04  0.000000e+00  3.168344e+07
 -8.105578e+04  0.000000e+00  3.167545e+07
 -8.095578e+04  0.000000e+00  3.166746e+07
 -8.085578e+04  0.000000e+00  3.165949e+07
 -8.075578e+04  0.000000e+00  3.165152e+07
 -8.065578e+04  0.000000e+00  3.164357e+07
 -8.055578e+04  0.000000e+00  3.163563e+07
 -8.045578e+04  0.000000e+00  3.162770e+07
 -8.035578e+04  0.000000e+00  3.161979e+07
 -8.025578e+04  0.000000e+00  3.161189e+07
 -8.015578e+04  0.000000e+00  3.160400e+07
 -8.005578e+04  0.000000e+00  3.159612e+07
 -7.995578e+04  0.000000e+00  3.158826e+07
 -7.985578e+04  0.000000e+00  3.158041e+07
 -7.975578e+04  0.000000e+00  3.157258e+07
 -7.965578e+04  0.000000e+00  3.156476e+07
 -7.955578e+04  0.000000e+00  3.155696e+07
 -7.945578e+04  0.000000e+00  3.154917e+07
 -7.935578e+04  0.000000e+00  3.154140e+07
 -7.925578e+04  0.000000e+00  3.153364e+07
 -7.915578e+04  0.000000e+00  3.152590e+07
 -7.905578e+04  0.000000e+00  3.151818e+07
 -7.895578e+04  0.000000e+00  3.151048e+07
 -7.885578e+04  0.000000e+00  3.150279e+07
 -7.875578e+04  0.000000e+00  3.149512e+07
 -7.865578e+04  0.000000e+00  3.148747e+07
 -7.855578e+04  0.000000e+00  3.147984e+07
 -7.845578e+04  0.000000e+00  3.147222e+07
 -7.835578e+04  0.000000e+00  3.146463e+07
 -7.825578e+04  0.000000e+00  3.145705e+07
 -7.815578e+04  0.000000e+00  3.144950e+07
 -7.805578e+04  0.000000e+00  3.144196e+07
 -7.795578e+04  0.000000e+00  3.143445e+07
 -7.785578e+04  0.000000e+00  3.142696e+07
 -7.775578e+04  0.000000e+00  3.141948e+07
 -7.765578e+04  0.000000e+00  3.141203e+07
 -7.755578e+04  0.000000e+00  3.140460e+07
 -7.745578e+04  0.000000e+00  3.139720e+07
 -7.735578e+04  0.000000e+00  3.138981e+07
 -7.725578e+04  0.000000e+00  3.138245e+07
 -7.715578e+04  0.000000e+00  3.137511e+07
 -7.705578e+04  0.000000e+00  3.136779e+07
 -7.695578e+04  0.000000e+00  3.136050e+07
 -7.685578e+04  0.000000e+00  3.135323e+07
 -7.675578e+04  0.000000e+00  3.134599e+07
 -7.665578e+04  0.000000e+00  3.133877e+07
 -7.655578e+04  0.000000e+00  3.133157e+07
 -7.645578e+04  0.000000e+00  3.132440e+07
 -7.635578e+04  0.000000e+00  3.131726e+07
 -7.625578e+04  0.000000e+00  3.131014e+07
 -7.615578e+04  0.000000e+00  3.130305e+07
 -7.605578e+04  0.000000e+00  3.129598e+07
 -7.595578e+04  0.000000e+00  3.128894e+07
 -7.585578e+04  0.000000e+00  3.128193e+07
 -7.575578e+04  0.000000e+00  3.127494e+07
 -7.565578e+04  0.000000e+00  3.126799e+07
 -7.555578e+04  0.000000e+00  3.126106e+07
 -7.545578e+04  0.000000e+00  3.125416e+07
 -7.535578e+04  0.000000e+00  3.124728e+07
 -7.525578e+04  0.000000e+00  3.124044e+07
 -7.515578e+04  0.000000e+00  3.123362e+07
 -7.505578e+04  0.000000e+00  3.122684e+07
 -7.495578e+04  0.000000e+00  3.122008e+07
 -7.485578e+04  0.000000e+00  3.121335e+07
 -7.475578e+04  0.000000e+00  3.120666e+07
 -7.465578e+04  0.000000e+00  3.119999e+07
 -7.455578e+04  0.000000e+00  3.119336e+07
 -7.445578e+04  0.000000e+00  3.118675e+07
 -7.435578e+04  0.000000e+00  3.118018e+07
 -7.425578e+04  0.000000e+00  3.117364e+07
 -7.415578e+04  0.000000e+00  3.116713e+07
 -7.405578e+04  0.000000e+00  3.116066e+07
 -7.395578e+04  0.000000e+00  3.115421e+07
 -7.385578e+04  0.000000e+00  3.114780e+07
 -7.375578e+04  0.000000e+00  3.114142e+07
 -7.365578e+04  0.000000e+00  3.113508e+07
 -7.355578e+04  0.000000e+00  3.112877e+07
 -7.345578e+04  0.000000e+00  3.112249e+07
 -7.335578e+04  0.000000e+00  3.111625e+07
 -7.325578e+04  0.000000e+00  3.111004e+07
 -7.315578e+04  0.000000e+00  3.110386e+07
 -7.305578e+04  0.000000e+00  3.109772e+07
 -7.295578e+04  0.000000e+00  3.109162e+07
 -7.285578e+04  0.000000e+00  3.108555e+07
 -7.275578e+04  0.000000e+00  3.107952e+07
 -7.265578e+04  0.000000e+00  3.107352e+07
 -7.255578e+04  0.000000e+00  3.106756e+07
 -7.245578e+04  0.000000e+00  3.106164e+07
 -7.235578e+04  0.000000e+00  3.105576e+07
 -7.225578e+04  0.000000e+00  3.104991e+07
 -7.215578e+04  0.000000e+00  3.104410e+07
 -7.205578e+04  0.000000e+00  3.103832e+07
 -7.195578e+04  0.000000e+00  3.103259e+07
 -7.185578e+04  0.000000e+00  3.102689e+07
 -7.175578e+04  0.000000e+00  3.102123e+07
 -7.165578e+04  0.000000e+00  3.101561e+07
 -7.155578e+04  0.000000e+00  3.101003e+07
 -7.145578e+04  0.000000e+00  3.100449e+07
 -7.135578e+04  0.000000e+00  3.099898e+07
 -7.125578e+04  0.000000e+00  3.099352e+07
 -7.115578e+04  0.000000e+00  3.098810e+07
 -7.105578e+04  0.000000e+00  3.098272e+07
 -7.095578e+04  0.000000e+00  3.097738e+07
 -7.085578e+04  0.000000e+00  3.097208e+07
 -7.075578e+04  0.000000e+00  3.096682e+07
 -7.065578e+04  0.000000e+00  3.096160e+07
