			GMRT Grid Version 4.1.1
Longitude	Latitude	Distance (km)	Elevation (m)
-87.1495	9.9042	53.565937	-3099.0723
-87.1487	9.9049	53.68631	-3098.3613
-87.1479	9.9057	53.806683	-3097.521
-87.1471	9.9064	53.927055	-3095.7295
-87.1462	9.9071	54.04743	-3092.8818
-87.1454	9.9078	54.1678	-3093.5562
-87.1446	9.9085	54.288174	-3088.8364
-87.1438	9.9092	54.408546	-3094.5054
-87.1429	9.9099	54.52892	-3098.0916
-87.1421	9.9106	54.649292	-3094.7725
-87.1413	9.9114	54.769665	-3097.3179
-87.1404	9.9121	54.890038	-3101.8638
-87.1396	9.9128	55.01041	-3104.131
-87.1388	9.9135	55.130783	-3104.045
-87.1380	9.9142	55.251156	-3100.2402
-87.1371	9.9149	55.37153	-3096.5107
-87.1363	9.9156	55.4919	-3093.195
-87.1355	9.9163	55.612274	-3088.5952
-87.1347	9.9171	55.732647	-3082.404
-87.1338	9.9178	55.85302	-3076.405
-87.1330	9.9185	55.973392	-3071.9458
-87.1322	9.9192	56.093765	-3068.0762
-87.1313	9.9199	56.214138	-3062.7852
-87.1305	9.9206	56.33451	-3056.395
-87.1297	9.9213	56.454884	-3054.2832
-87.1289	9.9221	56.575256	-3054.719
-87.1280	9.9228	56.69563	-3054.766
-87.1272	9.9235	56.816	-3051.3115
-87.1264	9.9242	56.936375	-3048.9531
-87.1256	9.9249	57.056747	-3049.186
-87.1247	9.9256	57.17712	-3050.3164
-87.1239	9.9263	57.297493	-3051.1384
-87.1231	9.9270	57.417866	-3052.2488
-87.1223	9.9278	57.53824	-3053.8381
-87.1214	9.9285	57.65861	-3055.7651
-87.1206	9.9292	57.778984	-3055.0613
-87.1198	9.9299	57.899357	-3053.3384
-87.1189	9.9306	58.01973	-3054.1294
-87.1181	9.9313	58.140102	-3057.382
-87.1173	9.9320	58.260475	-3060.4326
-87.1165	9.9328	58.380848	-3062.1309
-87.1156	9.9335	58.50122	-3063.7166
-87.1148	9.9342	58.621593	-3065.465
-87.1140	9.9349	58.741966	-3066.9683
-87.1132	9.9356	58.86234	-3068.3125
-87.1123	9.9363	58.98271	-3069.66
-87.1115	9.9370	59.103085	-3070.7744
-87.1107	9.9377	59.223457	-3071.7563
-87.1098	9.9385	59.34383	-3072.5122
-87.1090	9.9392	59.464203	-3072.9182
-87.1082	9.9399	59.584576	-3072.3428
-87.1074	9.9406	59.70495	-3070.8452
-87.1065	9.9413	59.82532	-3069.9702
-87.1057	9.9420	59.945694	-3070.698
-87.1049	9.9427	60.066067	-3071.343
-87.1041	9.9434	60.18644	-3069.9512
-87.1032	9.9442	60.306812	-3066.9404
-87.1024	9.9449	60.427185	-3064.4084
-87.1016	9.9456	60.547558	-3062.1404
-87.1008	9.9463	60.66793	-3059.4568
-87.0999	9.9470	60.788303	-3057.1528
-87.0991	9.9477	60.908676	-3055.4985
-87.0983	9.9484	61.02905	-3054.2805
-87.0975	9.9492	61.14942	-3053.3198
-87.0966	9.9499	61.269794	-3052.4695
-87.0958	9.9506	61.390167	-3051.7603
-87.0950	9.9513	61.51054	-3050.9797
-87.0941	9.9520	61.630913	-3050.0195
-87.0933	9.9527	61.751286	-3048.4878
-87.0925	9.9534	61.87166	-3046.5593
-87.0917	9.9541	61.99203	-3044.5056
-87.0908	9.9549	62.112404	-3042.488
-87.0900	9.9556	62.232777	-3040.6213
-87.0892	9.9563	62.35315	-3038.763
-87.0883	9.9570	62.473522	-3037.0767
-87.0875	9.9577	62.593895	-3035.4028
-87.0867	9.9584	62.714268	-3033.2434
-87.0859	9.9591	62.83464	-3030.2637
-87.0850	9.9598	62.955013	-3026.4888
-87.0842	9.9606	63.075386	-3023.304
-87.0834	9.9613	63.19576	-3021.6846
-87.0826	9.9620	63.31613	-3020.6116
-87.0817	9.9627	63.436504	-3020.0266
-87.0809	9.9634	63.556877	-3019.149
-87.0801	9.9641	63.67725	-3017.2852
-87.0793	9.9648	63.797623	-3015.8643
-87.0784	9.9656	63.917995	-3014.4055
-87.0776	9.9663	64.03837	-3011.1902
-87.0768	9.9670	64.158745	-3005.0386
-87.0759	9.9677	64.27912	-2990.3335
-87.0751	9.9684	64.3995	-2969.5867
-87.0743	9.9691	64.519875	-2955.0464
-87.0735	9.9698	64.64025	-2950.57
-87.0726	9.9705	64.76063	-2956.3323
